Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Santana do Manhuaçu ,2021,"21.922,20"
Santana do Paraíso ,2021,"20.818,42"
Santana do Riacho ,2021,"23.947,00"
Santana dos Montes ,2021,"13.286,87"
Santa Rita de Caldas ,2021,"25.612,88"
Santa Rita de Ibitipoca ,2021,"18.272,52"
Santa Rita de Jacutinga ,2021,"15.448,41"
Santa Rita de Minas ,2021,"20.733,84"
Santa Rita do Itueto ,2021,"33.004,29"
Santa Rita do Sapucaí ,2021,"43.969,93"
Santa Rosa da Serra ,2021,"30.331,26"
Santa Vitória ,2021,"40.140,53"
Santo Antônio do Amparo ,2021,"18.956,63"
Santo Antônio do Aventureiro ,2021,"18.856,11"
Santo Antônio do Grama ,2021,"22.189,15"
Santo Antônio do Itambé ,2021,"11.880,62"
Santo Antônio do Jacinto ,2021,"9.900,93"
Santo Antônio do Monte ,2021,"29.473,46"
Santo Antônio do Retiro ,2021,"9.670,55"
Santo Antônio do Rio Abaixo ,2021,"16.228,63"
Santo Hipólito ,2021,"16.491,40"
Santos Dumont ,2021,"23.793,10"
São Bento Abade ,2021,"16.505,34"
São Brás do Suaçuí ,2021,"21.354,17"
São Domingos das Dores ,2021,"16.117,24"
São Domingos do Prata ,2021,"18.125,06"
São Félix de Minas ,2021,"13.087,33"
São Francisco de Paula ,2021,"23.108,24"
São Francisco de Sales ,2021,"30.763,55"
São Francisco do Glória ,2021,"15.251,54"
São Francisco ,2021,"11.446,32"
São Geraldo da Piedade ,2021,"11.611,66"
São Geraldo do Baixio ,2021,"12.169,53"
São Geraldo ,2021,"20.738,30"
São Gonçalo do Abaeté ,2021,"38.182,29"
São Gonçalo do Pará ,2021,"24.361,90"
São Gonçalo do Rio Abaixo ,2021,"684.168,71"
São Gonçalo do Rio Preto ,2021,"15.341,20"
São Gonçalo do Sapucaí ,2021,"38.470,78"
São Gotardo ,2021,"32.960,88"
São João Batista do Glória ,2021,"35.560,06"
São João da Lagoa ,2021,"12.208,13"
São João da Mata ,2021,"20.081,08"
São João da Ponte ,2021,"10.741,62"
São João das Missões ,2021,"6.983,08"
São João del Rei ,2021,"33.059,97"
São João do Manhuaçu ,2021,"15.536,64"
São João do Manteninha ,2021,"13.597,23"
São João do Oriente ,2021,"13.780,13"
São João do Pacuí ,2021,"9.974,47"
São João do Paraíso ,2021,"11.979,66"
São João Evangelista ,2021,"16.059,13"
São João Nepomuceno ,2021,"19.084,40"
São Joaquim de Bicas ,2021,"33.134,13"
São José da Barra ,2021,"118.358,54"
São José da Lapa ,2021,"25.528,59"
São José da Safira ,2021,"11.549,69"
São José da Varginha ,2021,"22.210,65"
São José do Alegre ,2021,"13.723,34"
São José do Divino ,2021,"13.774,55"
São José do Goiabal ,2021,"12.581,76"
São José do Jacuri ,2021,"15.589,16"
São José do Mantimento ,2021,"15.659,26"
São Lourenço ,2021,"25.310,43"
São Miguel do Anta ,2021,"15.122,87"
São Pedro da União ,2021,"32.471,15"
São Pedro dos Ferros ,2021,"17.606,80"
São Pedro do Suaçuí ,2021,"15.850,23"
São Romão ,2021,"19.123,79"
São Roque de Minas ,2021,"45.519,05"
São Sebastião da Bela Vista ,2021,"79.135,44"
São Sebastião da Vargem Alegre ,2021,"21.986,02"
São Sebastião do Anta ,2021,"15.565,34"
São Sebastião do Maranhão ,2021,"10.199,95"
São Sebastião do Oeste ,2021,"85.924,50"
São Sebastião do Paraíso ,2021,"31.099,51"
São Sebastião do Rio Preto ,2021,"17.571,23"
São Sebastião do Rio Verde ,2021,"15.800,11"
São Thomé das Letras ,2021,"19.208,82"
São Tiago ,2021,"22.414,96"
São Tomás de Aquino ,2021,"27.976,08"
São Vicente de Minas ,2021,"26.169,34"
Sapucaí-Mirim ,2021,"15.652,58"
Sardoá ,2021,"10.715,08"
Sarzedo ,2021,"64.346,33"
Sem-Peixe ,2021,"14.216,64"
Senador Amaral ,2021,"16.672,42"
Senador Cortes ,2021,"19.007,94"
Senador Firmino ,2021,"13.512,67"
Senador José Bento ,2021,"24.962,26"
Senador Modestino Gonçalves ,2021,"22.733,52"
Senhora de Oliveira ,2021,"14.013,70"
Senhora do Porto ,2021,"14.157,59"
Senhora dos Remédios ,2021,"11.053,00"
Sericita ,2021,"14.303,08"
Seritinga ,2021,"24.357,44"
Serra Azul de Minas ,2021,"10.499,95"
Serra da Saudade ,2021,"28.392,42"
Serra dos Aimorés ,2021,"10.433,70"
Serra do Salitre ,2021,"83.678,44"
Serrania ,2021,"21.083,52"
Serranópolis de Minas ,2021,"9.813,13"
Serranos ,2021,"19.785,54"
Serro ,2021,"13.982,29"
Sete Lagoas ,2021,"51.894,81"
Setubinha ,2021,"9.820,38"
Silveirânia ,2021,"15.505,21"
Silvianópolis ,2021,"22.619,95"
Simão Pereira ,2021,"39.707,08"
Simonésia ,2021,"14.383,71"
Sobrália ,2021,"12.303,29"
Soledade de Minas ,2021,"13.150,84"
Tabuleiro ,2021,"17.915,28"
Taiobeiras ,2021,"16.085,74"
Taparuba ,2021,"15.864,94"
Tapiraí ,2021,"29.984,35"
Tapira ,2021,"140.948,55"
Taquaraçu de Minas ,2021,"16.000,68"
Tarumirim ,2021,"13.189,15"
Teixeiras ,2021,"16.380,33"
Teófilo Otoni ,2021,"20.893,97"
Timóteo ,2021,"61.482,00"
Tiradentes ,2021,"25.209,23"
Tiros ,2021,"59.641,82"
Tocantins ,2021,"20.853,44"
Tocos do Moji ,2021,"17.177,37"
Toledo ,2021,"16.912,97"
Tombos ,2021,"17.047,93"
Três Corações ,2021,"36.734,42"
Três Marias ,2021,"95.324,95"
Três Pontas ,2021,"32.896,24"
Tumiritinga ,2021,"12.198,83"
Tupaciguara ,2021,"37.169,53"
Turmalina ,2021,"21.879,01"
Turvolândia ,2021,"27.420,97"
Ubaí ,2021,"9.258,29"
Ubá ,2021,"30.288,91"
Ubaporanga ,2021,"13.424,24"
Uberaba ,2021,"59.943,87"
Uberlândia ,2021,"61.038,02"
Umburatiba ,2021,"17.107,60"
Unaí ,2021,"50.544,26"
União de Minas ,2021,"30.580,00"
Uruana de Minas ,2021,"29.820,95"
Urucânia ,2021,"23.226,29"
Urucuia ,2021,"11.061,34"
Vargem Alegre ,2021,"11.970,81"
Vargem Bonita ,2021,"40.894,45"
Vargem Grande do Rio Pardo ,2021,"13.504,40"
Varginha ,2021,"58.817,87"
Varjão de Minas ,2021,"43.704,06"
Várzea da Palma ,2021,"26.623,10"
Varzelândia ,2021,"9.704,80"
Vazante ,2021,"56.478,26"
Verdelândia ,2021,"12.118,32"
Veredinha ,2021,"23.208,11"
Veríssimo ,2021,"41.671,00"
Vermelho Novo ,2021,"13.235,02"
Vespasiano ,2021,"22.909,06"
Viçosa ,2021,"22.673,74"
Vieiras ,2021,"14.974,51"
Virgem da Lapa ,2021,"9.585,82"
Virgínia ,2021,"20.855,96"
Virginópolis ,2021,"17.587,98"
Virgolândia ,2021,"11.818,51"
Visconde do Rio Branco ,2021,"31.179,87"
Volta Grande ,2021,"26.633,91"
Wenceslau Braz ,2021,"13.011,59"
Não localizados,2021,-
"Fonte: IBGE.			 
Elaboração: DIEESE.  
Obs.: Quando o valor for igual a ""-"", significa que não há registro dos casos.",,
