Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Carrancas ,2021,"43.842,86"
Carvalhópolis ,2021,"19.752,88"
Carvalhos ,2021,"18.141,26"
Casa Grande ,2021,"30.760,19"
Cascalho Rico ,2021,"25.741,18"
Cássia ,2021,"24.600,35"
Cataguases ,2021,"21.748,30"
Catas Altas da Noruega ,2021,"11.130,50"
Catas Altas ,2021,"920.833,97"
Catuji ,2021,"13.420,70"
Catuti ,2021,"11.497,57"
Caxambu ,2021,"17.204,61"
Cedro do Abaeté ,2021,"19.483,63"
Central de Minas ,2021,"12.334,73"
Centralina ,2021,"33.942,79"
Chácara ,2021,"14.661,46"
Chalé ,2021,"20.049,37"
Chapada do Norte ,2021,"7.247,10"
Chapada Gaúcha ,2021,"28.354,63"
Chiador ,2021,"14.020,88"
Cipotânea ,2021,"10.762,85"
Claraval ,2021,"37.352,16"
Claro dos Poções ,2021,"11.196,90"
Cláudio ,2021,"38.451,85"
Coimbra ,2021,"18.325,94"
Coluna ,2021,"13.756,65"
Comendador Gomes ,2021,"49.491,51"
Comercinho ,2021,"10.285,11"
Conceição da Aparecida ,2021,"26.487,93"
Conceição da Barra de Minas ,2021,"17.449,47"
Conceição das Alagoas ,2021,"45.805,26"
Conceição das Pedras ,2021,"21.692,56"
Conceição de Ipanema ,2021,"17.685,15"
Conceição do Mato Dentro ,2021,"519.040,92"
Conceição do Pará ,2021,"88.902,87"
Conceição do Rio Verde ,2021,"25.025,75"
Conceição dos Ouros ,2021,"18.994,87"
Cônego Marinho ,2021,"8.212,18"
Confins ,2021,"70.734,21"
Congonhal ,2021,"18.053,14"
Congonhas do Norte ,2021,"9.768,27"
Congonhas ,2021,"73.709,50"
Conquista ,2021,"70.049,61"
Conselheiro Lafaiete ,2021,"23.881,55"
Conselheiro Pena ,2021,"16.708,53"
Consolação ,2021,"17.609,85"
Contagem ,2021,"54.136,41"
Coqueiral ,2021,"25.735,37"
Coração de Jesus ,2021,"10.251,33"
Cordisburgo ,2021,"16.419,95"
Cordislândia ,2021,"32.084,04"
Corinto ,2021,"25.937,03"
Coroaci ,2021,"12.690,02"
Coromandel ,2021,"54.911,10"
Coronel Fabriciano ,2021,"18.029,42"
Coronel Murta ,2021,"13.016,09"
Coronel Pacheco ,2021,"19.419,15"
Coronel Xavier Chaves ,2021,"26.367,67"
Córrego Danta ,2021,"52.273,69"
Córrego do Bom Jesus ,2021,"12.384,73"
Córrego Fundo ,2021,"49.904,63"
Córrego Novo ,2021,"14.332,74"
Couto de Magalhães de Minas ,2021,"14.262,94"
Crisólita ,2021,"11.215,05"
Cristais ,2021,"22.628,65"
Cristália ,2021,"9.875,05"
Cristiano Otoni ,2021,"23.967,13"
Cristina ,2021,"22.906,28"
Crucilândia ,2021,"16.383,73"
Cruzeiro da Fortaleza ,2021,"50.408,90"
Cruzília ,2021,"20.461,59"
Cuparaque ,2021,"14.734,12"
Curral de Dentro ,2021,"10.226,60"
Curvelo ,2021,"27.509,61"
Datas ,2021,"13.618,93"
Delfim Moreira ,2021,"15.700,68"
Delfinópolis ,2021,"34.599,14"
Delta ,2021,"42.456,49"
Descoberto ,2021,"16.206,30"
Desterro de Entre Rios ,2021,"35.948,85"
Desterro do Melo ,2021,"17.657,89"
Diamantina ,2021,"20.537,92"
Diogo de Vasconcelos ,2021,"11.363,34"
Dionísio ,2021,"12.128,99"
Divinésia ,2021,"18.575,93"
Divino das Laranjeiras ,2021,"12.416,03"
Divinolândia de Minas ,2021,"10.750,55"
Divino ,2021,"15.957,14"
Divinópolis ,2021,"34.355,36"
Divisa Alegre ,2021,"25.656,27"
Divisa Nova ,2021,"21.452,98"
Divisópolis ,2021,"8.178,51"
Dom Bosco ,2021,"19.065,15"
Dom Cavati ,2021,"13.860,37"
Dom Joaquim ,2021,"15.289,15"
Dom Silvério ,2021,"20.648,91"
Dom Viçoso ,2021,"13.052,06"
Dona Eusébia ,2021,"16.492,38"
Dores de Campos ,2021,"31.116,02"
Dores de Guanhães ,2021,"37.105,01"
